,acousticness,artists,danceability,duration_ms,duration_minutes,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
76,0.0537,['Eminem'],0.619,281133.0,4.68555,0.746,1.0,18TtVZgD09HpU7lUXR0kPI,0.0,10.0,0.295,-5.479,0.0,When I'm Gone,48.0,2005-12-06,0.36,149.944,0.757,2005.0
77,0.00868,['Eminem'],0.6920000000000001,326467.0,5.441116666666667,0.7440000000000001,1.0,1jS7v1W7iS5ND9IYqfOxWo,0.000423,2.0,0.359,-4.565,1.0,"Lose Yourself - From ""8 Mile"" Soundtrack",50.0,2005-12-06,0.257,171.37400000000005,0.0612,2005.0
78,0.0226,['Paramore'],0.519,220967.0,3.6827833333333335,0.88,0.0,2itu79WbZhUCHX4jg0fyAd,0.0,6.0,0.135,-3.929,1.0,Never Let This Go,49.0,2005-07-26,0.0447,144.968,0.529,2005.0
79,0.00144,['The Killers'],0.532,248467.0,4.141116666666667,0.931,0.0,1Rr17slUHwVRkDz4A2TUcM,0.263,11.0,0.159,-3.662,0.0,Bling (Confession Of A King),52.0,2006-10-02,0.0467,113.424,0.383,2006.0
80,0.618,['Marc Anthony'],0.488,237800.0,3.9633333333333334,0.488,0.0,2mzG4KN7dEGPMlkwj2x7SL,0.0,4.0,0.632,-8.87,0.0,Hasta Ayer,48.0,2006-01-01,0.0387,99.782,0.454,2006.0
81,0.6859999999999999,['Alan Jackson'],0.743,75973.0,1.2662166666666665,0.463,0.0,5T2QE22XKxvMyQb5Xmr70z,0.0,6.0,0.263,-8.987,1.0,Are You Washed In The Blood,47.0,2006,0.0272,113.132,0.8109999999999999,2006.0
82,0.7090000000000001,['Marc Anthony'],0.645,291147.0,4.85245,0.7959999999999999,0.0,5TIQpl0gO9uaEb8DALslWB,1.73e-05,2.0,0.0992,-8.029,1.0,No Sabes Como Duele,48.0,2006-01-01,0.0508,176.942,0.745,2006.0
83,0.00624,['Red Hot Chili Peppers'],0.607,262333.0,4.3722166666666675,0.89,0.0,4vHmY3cg7PWCPE0buO3G6t,0.135,2.0,0.14,-3.148,1.0,21st Century,52.0,2006-05-09,0.0504,115.941,0.6709999999999999,2006.0
84,0.00316,['Arctic Monkeys'],0.622,143627.0,2.3937833333333334,0.846,0.0,1TYRcvY3JTYoLVhADPpDH5,0.0,11.0,0.0989,-4.831,0.0,Red Light Indicates Doors Are Secured,44.0,2006-02-21,0.0311,110.683,0.914,2006.0
85,0.598,['Brad Paisley'],0.696,250333.0,4.1722166666666665,0.39,0.0,3OCS075lQnGG3gOUI0bava,0.0,4.0,0.106,-11.192,1.0,Find Yourself,47.0,2006-01-01,0.0272,111.706,0.274,2006.0
